"","title","author","date","views","likes","link","sentiment","topics"
"141","How to make radical climate action the new normal","Al Gore","October 2021",1500000,47000,"https://ted.com/talks/al_gore_how_to_make_radical_climate_action_the_new_normal",0.0313333333333333,"countdown, energy, innovation, renewable energy, climate change, leadership, science"
"142","What we miss when we focus on the average","Mona Chalabi","November 2021",355000,10000,"https://ted.com/talks/mona_chalabi_what_we_miss_when_we_focus_on_the_average",0.028169014084507,"data, humanity, statistics, success"
"143","3 rules to help you build a successful business","Julissa Prado","November 2021",1400000,42000,"https://ted.com/talks/julissa_prado_3_rules_to_help_you_build_a_successful_business",0.03,"creativity, entrepreneur, business, leadership"
"144","What is COP26?","Countdown","October 2021",256000,7700,"https://ted.com/talks/countdown_what_is_cop26",0.030078125,"climate change, government, sustainability, countdown, policy"
"145","Countdown Global Livestream 2021","TED","October 2021",6100000,183000,"https://ted.com/talks/ted_countdown_global_livestream_2021",0.03,"activism, technology, countdown, climate change, government, policy, sustainability, innovation"
"146","The 55 gigaton challenge","Countdown","October 2021",269000,8000,"https://ted.com/talks/countdown_the_55_gigaton_challenge",0.0297397769516729,"countdown, energy, climate change, pollution"
"147","The haunting truth of ghost stories","Coya Paz Brownrigg","May 2021",1100000,33000,"https://ted.com/talks/coya_paz_brownrigg_the_haunting_truth_of_ghost_stories",0.03,"anthropology, storytelling, culture, history, death, society, tedx"
"148","A new perspective on the journey to net-zero","Amina J. Mohammed","October 2021",1300000,41000,"https://ted.com/talks/amina_j_mohammed_a_new_perspective_on_the_journey_to_net_zero",0.0315384615384615,"global issues, countdown, climate change, activism"
"149","The fastest way to slow climate change now","Ilissa Ocko","October 2021",1500000,46000,"https://ted.com/talks/ilissa_ocko_the_fastest_way_to_slow_climate_change_now",0.0306666666666667,"climate change, countdown, sustainability, fossil fuels, pollution, environment"
"150","AI isn't as smart as you think — but it could be","Jeff Dean","August 2021",1400000,42000,"https://ted.com/talks/jeff_dean_ai_isn_t_as_smart_as_you_think_but_it_could_be",0.03,"machine learning, technology, ethics, future, ai, algorithm"
"151","The Norse myth that inspired ""The Lord of the Rings""","Iseult Gillespie","October 2021",1500000,45000,"https://ted.com/talks/iseult_gillespie_the_norse_myth_that_inspired_the_lord_of_the_rings",0.03,"animation, , education, culture, storytelling, literature"
"152","How to turn around a city","Irma L. Olguin Jr.","August 2021",1200000,38000,"https://ted.com/talks/irma_l_olguin_jr_how_to_turn_around_a_city",0.0316666666666667,"cities, education, computers, technology, work"
"153","Stuck in the gig economy? Try platform co-ops instead","Trebor Scholz","August 2021",1300000,41000,"https://ted.com/talks/trebor_scholz_stuck_in_the_gig_economy_try_platform_co_ops_instead",0.0315384615384615,"business, social change, economics, work, leadership, technology"
"154","""The [Uncertain] Four Seasons""","AKQA and Jung von Matt","October 2021",5300,161,"https://ted.com/talks/akqa_and_jung_von_matt_the_uncertain_four_seasons",0.030377358490566,"music, performance, countdown"
"155","The surprisingly long history of electric cars","Daniel Sperling and Gil Tal","October 2021",367000,11000,"https://ted.com/talks/daniel_sperling_and_gil_tal_the_surprisingly_long_history_of_electric_cars",0.0299727520435967,", animation, education, climate change, transportation, invention, innovation, pollution"
"156","Can China achieve its ambitious climate pledges?","Hongqiao Liu","October 2021",1300000,39000,"https://ted.com/talks/hongqiao_liu_can_china_achieve_its_ambitious_climate_pledges",0.03,"countdown, china, climate change, electricity, energy, sustainability"
"157","Do 9 out of 10 dentists really recommend that toothpaste?","Mona Chalabi","October 2021",154000,4600,"https://ted.com/talks/mona_chalabi_do_9_out_of_10_dentists_really_recommend_that_toothpaste",0.0298701298701299,"health care, health, statistics, medical research"
"158","What to expect from COP26","Countdown Summit","October 2021",28000,854,"https://ted.com/talks/countdown_summit_what_to_expect_from_cop26",0.0305,"countdown, government, climate change, policy"
"159","Visions for the future","Kai-Fu Lee and Chen Qiufan","September 2021",1100000,33000,"https://ted.com/talks/kai_fu_lee_and_chen_qiufan_visions_for_the_future",0.03,"ai, future, computers, machine learning, technology, science fiction, society"
"160","How to reduce bias in your workplace","Kim Scott and Trier Bryant","October 2021",1100000,34000,"https://ted.com/talks/kim_scott_and_trier_bryant_how_to_reduce_bias_in_your_workplace",0.0309090909090909,"leadership, diversity, work, inclusion, equality, social change"
"161","3 tips for leaders to get the future of work right","Debbie Lovich","September 2021",1400000,43000,"https://ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right",0.0307142857142857,"culture, work life balance, time, work, leadership"
"162","How your nature photos can help protect wild animals","Tanya Berger-Wolf","March 2016",1200000,36000,"https://ted.com/talks/tanya_berger_wolf_how_your_nature_photos_can_help_protect_wild_animals",0.03,"nature, climate change, conservation, animals, machine learning, ai, photography, tedx, biodiversity"
"163","A close-to-home solution for accessible childcare","Chris Bennett","August 2021",1400000,43000,"https://ted.com/talks/chris_bennett_a_close_to_home_solution_for_accessible_childcare",0.0307142857142857,"education, parenting, community, technology, kids, teaching"
"164","What makes a friendship last?","Mona Chalabi","October 2021",286000,8500,"https://ted.com/talks/mona_chalabi_what_makes_a_friendship_last",0.0297202797202797,"friendship, relationships, life, love"
"165","How much clean electricity do we really need?","Solomon Goldstein-Rose","October 2021",1400000,42000,"https://ted.com/talks/solomon_goldstein_rose_how_much_clean_electricity_do_we_really_need",0.03,"sustainability, climate change, energy, countdown, global issues, innovation, fossil fuels, electricity, future, renewable energy"
"166","Can you solve the risky disk riddle?","James Tanton","October 2021",578000,17000,"https://ted.com/talks/james_tanton_can_you_solve_the_risky_disk_riddle",0.0294117647058824,", education, math, animation, code"
"167","How we could eat real meat without harming animals","Isha Datar","August 2021",1700000,51000,"https://ted.com/talks/isha_datar_how_we_could_eat_real_meat_without_harming_animals",0.03,"science, agriculture, food, biology, technology, future, sustainability, countdown, farming, animals"
"168","How long does it take to get over a breakup?","Mona Chalabi","October 2021",310000,9300,"https://ted.com/talks/mona_chalabi_how_long_does_it_take_to_get_over_a_breakup",0.03,"relationships, data, humanity, love, time"
